,Unnamed: 0,recordId,priority,district,description,callNumber,incidentLocation,Latitude,Longitude,date
653914,3566587,2691516,High,SE,AGGRAV ASSAULT,P172020636,3100 PULASKI HY,39.295584000000005,-76.57300699999999,2017-07-21
181782,913657,2817019,Medium,SW,COMMON ASSAULT,P172462295,1000 PARKSLEY AV,39.274409999999996,-76.664445,2017-09-03
669902,3647823,2484531,Medium,WD,COMMON ASSAULT,P171322585,1100 BLK N FULTON AV,39.301075,-76.645966,2017-05-12
329117,1772177,3269247,Medium,NW,COMMON ASSAULT,P180583014,6800 PARK HEIGHTS AV,39.363704999999996,-76.701472,2018-02-27
444896,2066102,3413703,Medium,ED,COMMON ASSAULT,P181152874,2900 E MONUMENT ST,39.29908,-76.576477,2018-04-25
360787,1839375,3303575,Medium,NE,COMMON ASSAULT,P180722680,2900 RUECKERT AV,39.348859999999995,-76.566556,2018-03-13
96174,481970,2777594,Medium,ED,COMMON ASSAULT,P172321861,1200 N CHESTER ST,39.30467,-76.58821400000001,2017-08-20
65261,351236,2559102,Medium,WD,COMMON ASSAULT,P171572783,1600 W LEXINGTON ST,39.290690999999995,-76.64250600000001,2017-06-06
627559,3468638,2536470,Medium,SW,COMMON ASSAULT,P171500956,3800 FREDERICK AV,39.281828000000004,-76.679903,2017-05-30
324382,1765810,3251261,Medium,SE,COMMON ASSAULT,P180513159,3700 EASTERN AV,39.286623,-76.566345,2018-02-20
561840,3179504,2800526,Medium,NE,COMMON ASSAULT,P172402261,2800 GRINDON AV,39.344444,-76.5737,2017-08-28
555199,3172849,2596898,Medium,NE,COMMON ASSAULT,P171700510,3600 LYNDALE AV,39.316513,-76.568758,2017-06-19
564907,3182589,2898459,Medium,SW,COMMON ASSAULT,P172761892,2400 FREDERICK AV,39.284157,-76.65465400000001,2017-10-03
622412,3393375,3126482,Medium,ED,COMMON ASSAULT,P180020718,3000 E MONUMENT ST,39.299101,-76.57508100000001,2018-01-02
646719,3487911,3187940,Medium,ED,COMMON ASSAULT,P180261065,1000 E EAGER ST,39.301517,-76.602818,2018-01-26
111450,590576,2552263,Medium,WD,COMMON ASSAULT,P171551700,1900 W LANVALE ST,39.297486,-76.647566,2017-06-04
9053,50236,2819772,High,SE,AGGRAV ASSAULT,P172472551,600 N MILTON AV,39.297877,-76.582226,2017-09-04
71238,358789,2725138,Medium,NE,COMMON ASSAULT,P172133205,6100 PULASKI HY,39.303118,-76.54409799999999,2017-08-01
94003,479079,2690509,High,WD,AGGRAV ASSAULT,P172012914,1600 VINCENT CT,39.307354,-76.643937,2017-07-20
361909,1841853,3304752,High,CD,AGGRAV ASSAULT,P180731068,300 N EUTAW ST,39.293031,-76.621163,2018-03-14
666858,3579578,3139296,Medium,ND,COMMON ASSAULT,P180071676,900 WOODSON RD,39.370208,-76.60259599999999,2018-01-07
567379,3185066,3000506,Medium,ED,COMMON ASSAULT,P173140713,400 E 23RD ST,39.315496,-76.610762,2017-11-10
709196,3749438,3139222,Medium,NW,COMMON ASSAULT,P180071589,3600 BOWERS AV,39.336346999999996,-76.706032,2018-01-07
108858,572286,3015782,Medium,SD,COMMON ASSAULT,P173201290,2100 W PATAPSCO AV,39.250892,-76.64393299999999,2017-11-16
111285,590362,2526341,Medium,NE,COMMON ASSAULT,P171462488,4800 BELAIR RD,39.333337,-76.558419,2017-05-26
631851,3472943,2691613,Medium,SE,COMMON ASSAULT,P172020759,6500 RIVERVIEW AV,39.257436,-76.53139499999999,2017-07-21
617361,3388312,2965774,Medium,ND,COMMON ASSAULT,P173010104,2400 W BELVEDERE AV,39.354766999999995,-76.662273,2017-10-28
73099,361375,2800090,Medium,SE,COMMON ASSAULT,P172401769,4900 EASTERN AV,39.287099,-76.55496099999999,2017-08-28
98436,484988,2841685,Medium,SD,COMMON ASSAULT,P172560276,1300 HERKIMER ST,39.281372999999995,-76.63826999999999,2017-09-13
290991,1670367,3208559,Medium,NE,COMMON ASSAULT,P180341118,5500 BELAIR RD,39.339746999999996,-76.549226,2018-02-03
659049,3571740,2905986,Medium,SE,COMMON ASSAULT,P172790688,500 N LAKEWOOD AV,39.296958000000004,-76.579326,2017-10-06
389832,1912868,3342132,Medium,NE,COMMON ASSAULT,P180890407,5100 CONANT WY,39.320141,-76.553689,2018-03-30
372211,1867214,3317646,Medium,CD,COMMON ASSAULT,P180781352,700 DRUID PARK LAKE DR,39.316679,-76.630421,2018-03-19
338231,1791547,3278491,Medium,SW,COMMON ASSAULT,P180621338,3100 GEORGETOWN RD,39.262786,-76.662872,2018-03-03
81377,372753,3050298,Medium,WD,COMMON ASSAULT,P173342016,2400 LIBERTY HEIGHTS AV,39.318704,-76.651887,2017-11-30
668356,3581089,3172731,Medium,SW,COMMON ASSAULT,P180202441,3600 CLARENELL RD,39.266417,-76.675866,2018-01-20
137708,705561,2758493,Medium,SW,COMMON ASSAULT,P172252644,2000 OAK DR,39.310925,-76.71215600000001,2017-08-13
700624,3740815,2851408,Medium,ND,COMMON ASSAULT,P172591822,2800 MARYLAND AV,39.321977000000004,-76.61865300000001,2017-09-16
662618,3575320,3001742,Medium,CD,COMMON ASSAULT,P173142134,1100 BOLTON ST,39.303568,-76.62266,2017-11-10
671274,3649206,2551876,Medium,NE,COMMON ASSAULT,P171551274,4200 SEIDEL AV,39.329874,-76.563214,2017-06-04
78490,368762,2948057,Medium,SD,COMMON ASSAULT,P172941732,1000 W PATAPSCO AV,39.246726,-76.636095,2017-10-21
519666,2987257,2912973,Medium,SE,COMMON ASSAULT,P172811835,1700 E PRATT ST,39.289246999999996,-76.593631,2017-10-08
466676,2795935,2521206,Medium,SE,COMMON ASSAULT,P171450065,400 N STREEPER ST,39.296176,-76.577173,2017-05-25
103383,491541,3042630,Medium,ED,COMMON ASSAULT,P173311947,2000 E OLIVER ST,39.30765,-76.589956,2017-11-27
133373,700024,2602098,High,SW,AGGRAV ASSAULT,P171713167,2700 WILKENS AV,39.27802,-76.658845,2017-06-20
663766,3576482,3035011,Medium,WD,COMMON ASSAULT,P173280831,2300 CALVERTON HEIGHTS AV,39.297672999999996,-76.65391899999999,2017-11-24
38945,226978,2469957,High,SE,AGGRAV ASSAULT,P171271508,3600 E FAYETTE ST,39.294936,-76.567554,2017-05-07
333389,1777822,3255224,Medium,CD,COMMON ASSAULT,P180531121,100 N HOWARD ST,39.290597,-76.619519,2018-02-22
541302,3088499,2994164,High,CD,AGGRAV ASSAULT,P173112274,300 N EUTAW ST,39.293031,-76.621163,2017-11-07
110961,589858,2553536,High,SD,AGGRAV ASSAULT,P171553120,3800 BLK ST VICTOR ST,39.232381,-76.59767099999999,2017-06-04
599472,3370341,2511272,Medium,NE,COMMON ASSAULT,P171412033,4800 CLAYBURY AV,39.318175,-76.550241,2017-05-21
150460,744230,2498496,Medium,SD,COMMON ASSAULT,P171372030,3700 10TH ST,39.233290999999994,-76.596294,2017-05-17
24951,134683,2660304,Medium,SW,COMMON ASSAULT,P171911847,600 S SMALLWOOD ST,39.280392,-76.650329,2017-07-10
314981,1723937,3241168,High,SD,AGGRAV ASSAULT,P180472489,300 S NORRIS ST,39.284255,-76.64001,2018-02-16
540247,3087434,2848332,Medium,SW,COMMON ASSAULT,P172581615,2100 GARRISON BL,39.311513,-76.675165,2017-09-15
530257,3077401,2529020,Medium,WD,COMMON ASSAULT,P171471747,2300 KOKO LN,39.313365999999995,-76.663381,2017-05-27
310799,1713973,3235255,Medium,NW,COMMON ASSAULT,P180451893,5500 PARK HEIGHTS AV,39.3519,-76.683623,2018-02-14
117191,597962,2747971,Medium,CD,COMMON ASSAULT,P172220240,400 W PRATT ST,39.286277,-76.620111,2017-08-10
35863,148898,3088196,Medium,ED,COMMON ASSAULT,P173502119,1400 N CENTRAL AV,39.306169,-76.60058000000001,2017-12-16
197954,1469953,2540681,Medium,NE,COMMON ASSAULT,P171512392,3000 ROSALIE AV,39.368044,-76.547824,2017-05-31
384595,1897831,3340136,High,ED,AGGRAV ASSAULT,P180881549,1900 N BROADWAY,39.312898,-76.595811,2018-03-29
665753,3578471,3089932,Medium,ED,COMMON ASSAULT,P173510662,700 N LINWOOD AV,39.299188,-76.576657,2017-12-17
428314,2014664,3391674,Medium,ED,COMMON ASSAULT,P181072442,2800 E FEDERAL ST,39.309113,-76.57885,2018-04-17
402924,1947480,3357920,Medium,ND,COMMON ASSAULT,P180950620,4100 ST GEORGES AV,39.340534000000005,-76.60095799999999,2018-04-05
665006,3577724,3066294,Medium,SW,COMMON ASSAULT,P173403016,500 ALLENDALE ST,39.292730999999996,-76.678297,2017-12-06
632836,3473929,2709803,Medium,SW,COMMON ASSAULT,P172081942,3400 CLIFTON AV,39.310989,-76.674237,2017-07-27
162896,799542,2832205,Medium,WD,COMMON ASSAULT,P172521679,2800 RAYNER AV,39.296296999999996,-76.662922,2017-09-09
630488,3471576,2618924,Medium,SD,COMMON ASSAULT,P171772011,1500 PLUM ST,39.228253,-76.590252,2017-06-26
122734,605078,2991019,Medium,SE,COMMON ASSAULT,P173101692,3700 EASTERN AV,39.286623,-76.566345,2017-11-06
355398,1826305,3296407,Medium,WD,COMMON ASSAULT,P180692735,2100 W NORTH AV,39.309711,-76.65129,2018-03-10
664789,3577507,3066778,Medium,SE,COMMON ASSAULT,P173410563,300 HERRING CT,39.287557,-76.595083,2017-12-07
445681,2075505,3423097,Medium,NE,COMMON ASSAULT,P181190083,2900 E COLD SPRING LN,39.344077,-76.570823,2018-04-29
288548,1658621,3230666,Medium,NW,COMMON ASSAULT,P180432461,3300 LIBERTY HEIGHTS AV,39.323597,-76.669481,2018-02-12
554966,3172615,2595670,Medium,NW,COMMON ASSAULT,P171692288,3500 WOODLAND AV,39.342246,-76.673344,2017-06-18
551169,3168805,2486262,Medium,CD,COMMON ASSAULT,P171331243,2400 EUTAW PL,39.313389,-76.636864,2017-05-13
78126,368312,2954061,Medium,NW,COMMON ASSAULT,P172962805,4300 PIMLICO RD,39.339059999999996,-76.66403100000001,2017-10-23
520446,2988039,2939899,Medium,SE,COMMON ASSAULT,P172911789,300 BALLOU CT,39.28776,-76.59725999999999,2017-10-18
404133,1950769,3359610,Medium,NE,COMMON ASSAULT,P180952588,1700 WAVERLY WY,39.366633,-76.580897,2018-04-05
201462,1474573,2572095,High,SE,AGGRAV ASSAULT,P171613230,200 S BROADWAY,39.289063,-76.593795,2017-06-10
364121,1846969,3307455,Medium,WD,COMMON ASSAULT,P180741468,2400 ETTING ST,39.310825,-76.640653,2018-03-15
149438,720699,3154977,High,SD,AGGRAV ASSAULT,P180132244,1200 WASHINGTON BL,39.281615,-76.63410999999999,2018-01-13
172096,885643,2476480,Medium,WD,COMMON ASSAULT,P171292847,1200 W FAYETTE ST,39.289797,-76.636951,2017-05-09
290424,1669637,3211799,Medium,CD,COMMON ASSAULT,P180351502,1500 PENNSYLVANIA AV,39.301922,-76.632707,2018-02-04
442128,2058053,3410217,Medium,SW,COMMON ASSAULT,P181141872,4500 BLK EDMONDSON AV,39.293473999999996,-76.69222099999999,2018-04-24
154821,749838,3092326,Medium,SW,COMMON ASSAULT,P173520906,800 S CATON AV,39.275177,-76.67155100000001,2017-12-18
581975,3276321,2710326,Medium,CD,COMMON ASSAULT,P172082521,400 BLK MANSE CT,39.301944,-76.62607,2017-07-27
296081,1680330,3216479,Medium,SE,COMMON ASSAULT,P180371530,200 S ANN ST,39.289342,-76.591614,2018-02-06
470087,2799353,2652901,Medium,ND,COMMON ASSAULT,P171882715,600 SPRINGFIELD AV,39.340478000000004,-76.60754,2017-07-07
535679,3082839,2717282,Medium,SE,COMMON ASSAULT,P172110643,300 S DALLAS CT,39.287504999999996,-76.59649399999999,2017-07-30
319956,1736829,3262806,Medium,CD,COMMON ASSAULT,P180561249,800 LINDEN AV,39.298648,-76.62078000000001,2018-02-25
102929,490958,3029403,Medium,ED,COMMON ASSAULT,P173252480,1300 E LANVALE ST,39.30932,-76.60099,2017-11-21
476997,2806324,2918797,Medium,WD,COMMON ASSAULT,P172832445,700 ASHBURTON ST,39.295578000000006,-76.661446,2017-10-10
21658,130398,2531829,Medium,WD,COMMON ASSAULT,P171481610,1000 N FULTON AV,39.299989000000004,-76.64590600000001,2017-05-28
613817,3384755,2867470,Medium,NE,COMMON ASSAULT,P172651444,1500 HAVENWOOD RD,39.340655,-76.591179,2017-09-22
555399,3173049,2613636,High,CD,AGGRAV ASSAULT,P171752347,500 E PRATT ST,39.286712,-76.608176,2017-06-24
531852,3079001,2561643,Medium,SE,COMMON ASSAULT,P171582108,1800 FLEET ST,39.284639,-76.59133299999999,2017-06-07
40349,228710,2529966,Medium,NE,COMMON ASSAULT,P171472813,2400 BRIDGEHAMPTON DR,39.369528,-76.56440699999999,2017-05-27
525104,2992712,3101533,High,SW,AGGRAV ASSAULT,P173552510,3000 ARUNAH AV,39.295141,-76.666862,2017-12-21
495714,2894572,2864200,Medium,WD,COMMON ASSAULT,P172640921,2500 WOODBROOK AV,39.312073,-76.64313800000001,2017-09-21
8225,49161,2777427,High,CD,AGGRAV ASSAULT,P172321677,500 N CALVERT ST,39.295848,-76.612776,2017-08-20
593143,3287578,3077675,High,ED,AGGRAV ASSAULT,P173452661,1700 LAMONT AV,39.3096,-76.602512,2017-12-11
306489,1704121,3231596,Medium,CD,COMMON ASSAULT,P180440580,100 E PRATT ST,39.286574,-76.612663,2018-02-13
43904,233485,2623456,High,SD,AGGRAV ASSAULT,P171790365,500 CALLENDAR ST,39.282422,-76.631123,2017-06-28
679993,3657986,2871994,Medium,ND,COMMON ASSAULT,P172663211,800 GILRUBIN CT,39.342176,-76.60229,2017-09-23
95213,480684,2718805,Medium,SE,COMMON ASSAULT,P172112335,800 S BOND ST,39.282381,-76.59509200000001,2017-07-30
291427,1670924,3211463,Medium,WD,COMMON ASSAULT,P180351117,800 N MONROE ST,39.297925,-76.647468,2018-02-04
140762,709515,2871286,Medium,SD,COMMON ASSAULT,P172662408,2900 RAYSHIRE RD,39.253388,-76.642044,2017-09-23
652154,3564824,2645541,Medium,NW,COMMON ASSAULT,P171861480,3800 EGERTON RD,39.327978,-76.680761,2017-07-05
84123,376390,3153245,Medium,NW,COMMON ASSAULT,P180130304,5300 REISTERSTOWN RD,39.345078,-76.68657900000001,2018-01-13
471542,2800835,2707952,Medium,SD,COMMON ASSAULT,P172073276,600 BLK PONTIAC AV,39.235059,-76.602239,2017-07-26
180008,911256,2573107,Medium,NW,COMMON ASSAULT,P171620951,3600 FORDS LN,39.359715,-76.69704399999999,2017-06-11
670174,3648096,2478867,Medium,WD,COMMON ASSAULT,P171302306,2400 ETTING ST,39.310825,-76.640653,2017-05-10
592693,3287127,3046155,Medium,WD,COMMON ASSAULT,P173322918,2500 DRUID HILL AV,39.313427000000004,-76.64122900000001,2017-11-28
79966,370970,2990690,Medium,NE,COMMON ASSAULT,P173101312,5700 BELAIR RD,39.342557,-76.545226,2017-11-06
12315,54537,2919017,High,SD,AGGRAV ASSAULT,P172832692,200 JACK ST,39.233925,-76.610015,2017-10-10
326450,1768799,3273876,Medium,SD,COMMON ASSAULT,P180602194,1000 E PATAPSCO AV,39.234309,-76.595837,2018-03-01
450923,2085169,3423223,Medium,ND,COMMON ASSAULT,P181190201,2300 PENNYROYAL TE,39.348884000000005,-76.65658,2018-04-29
28044,138664,2787100,Medium,ND,COMMON ASSAULT,P172353068,3900 GREENMOUNT AV,39.336683,-76.609503,2017-08-23
27300,137727,2749948,Medium,SE,COMMON ASSAULT,P172222515,500 N PORT ST,39.297022999999996,-76.582897,2017-08-10
449245,2082959,3418719,Medium,WD,COMMON ASSAULT,P181171811,1000 W BALTIMORE ST,39.288703000000005,-76.63391899999999,2018-04-27
542048,3089245,2921206,High,SE,AGGRAV ASSAULT,P172841809,400 S BOND ST,39.2863,-76.595403,2017-10-11
624980,3396068,3177955,High,SD,AGGRAV ASSAULT,P180222635,2000 CHRISTIAN ST,39.282086,-76.64851999999999,2018-01-22
322066,1758746,3255317,Medium,SW,COMMON ASSAULT,P180531225,3300 PRESSTMAN ST,39.304477,-76.672099,2018-02-22
84227,376597,3161181,Medium,CD,COMMON ASSAULT,P180161327,1600 PENNSYLVANIA AV,39.303201,-76.634284,2018-01-16
135214,702395,2671643,Medium,NW,COMMON ASSAULT,P171951236,4000 FORDLEIGH RD,39.354965,-76.69971600000001,2017-07-14
447930,2078289,3416714,Medium,CD,COMMON ASSAULT,P181163094,2400 CALLOW AV,39.314549,-76.631381,2018-04-26
139506,707908,2821627,Medium,SD,COMMON ASSAULT,P172481843,500 CALLENDAR ST,39.282422,-76.631123,2017-09-05
404842,1952329,3384496,Medium,NW,COMMON ASSAULT,P181042988,2700 CHELSEA TE,39.318267999999996,-76.681675,2018-04-14
1179,39894,2495260,Medium,NE,COMMON ASSAULT,P171361988,4900 GOODNOW RD,39.326367,-76.547818,2017-05-16
63105,348530,2481960,Medium,SD,COMMON ASSAULT,P171312656,4200 GRACE CT,39.227546000000004,-76.58750699999999,2017-05-11
448643,2079324,3423408,Medium,ED,COMMON ASSAULT,P181190412,700 N LUZERNE AV,39.29923,-76.580899,2018-04-29
122844,605231,2994738,Medium,SE,COMMON ASSAULT,P173120095,600 S BRADFORD ST,39.284965,-76.583545,2017-11-08
52626,244888,2932442,Medium,WD,COMMON ASSAULT,P172882211,2300 CALVERTON HEIGHTS AV,39.297672999999996,-76.65391899999999,2017-10-15
312913,1718619,3239267,High,ND,AGGRAV ASSAULT,P180470447,800 E 34TH ST,39.329865999999996,-76.605036,2018-02-16
433923,2030850,3399531,Medium,NE,COMMON ASSAULT,P181102157,5900 PULASKI HY,39.302131,-76.54745600000001,2018-04-20
632065,3473157,2680052,Medium,SD,COMMON ASSAULT,P171981064,3700 8TH ST,39.234039,-76.59994,2017-07-17
659174,3571865,2869665,Medium,CD,COMMON ASSAULT,P172660595,100 E PRATT ST,39.286574,-76.612663,2017-09-23
315012,1724031,3242424,Medium,NE,COMMON ASSAULT,P180480819,3400 MAYFIELD AV,39.320369,-76.569776,2018-02-17
700208,3740398,2808696,Medium,ED,COMMON ASSAULT,P172432337,1100 E NORTH AV,39.311692,-76.603914,2017-08-31
430622,2020852,3394241,High,NE,AGGRAV ASSAULT,P181082415,3400 JUNEWAY,39.317904,-76.569508,2018-04-18
405151,1953026,3360659,Medium,SE,COMMON ASSAULT,P180960627,400 S BOND ST,39.2863,-76.595403,2018-04-06
676629,3654596,2750513,High,SD,AGGRAV ASSAULT,P172223137,400 ROUNDVIEW RD,39.250809999999994,-76.620906,2017-08-10
418797,1987348,3376102,Medium,NE,COMMON ASSAULT,P181020477,3100 JUNEAU PL,39.333991999999995,-76.572358,2018-04-12
30197,141538,2850573,Medium,NW,COMMON ASSAULT,P172590895,3700 OVERVIEW RD,39.329299,-76.66333,2017-09-16
466105,2795363,2472757,High,NE,AGGRAV ASSAULT,P171281922,1600 E 32ND ST,39.32679,-76.593662,2017-05-08
140951,709756,2893704,Medium,SE,COMMON ASSAULT,P172742275,500 S REGESTER ST,39.285610999999996,-76.592465,2017-10-01
67122,353631,2603593,Medium,SD,COMMON ASSAULT,P171721407,4100 HYDEN CT,39.22932,-76.597317,2017-06-21
610168,3381075,2786115,Medium,WD,COMMON ASSAULT,P172351957,500 N BRICE ST,39.294218,-76.64972399999999,2017-08-23
108853,572261,3015321,Medium,SW,COMMON ASSAULT,P173200755,1800 BLOOMINGDALE RD,39.308409999999995,-76.67034699999999,2017-11-16
588019,3282412,2898158,Medium,ED,COMMON ASSAULT,P172761586,1600 N BOND ST,39.308541,-76.59685999999999,2017-10-03
327048,1769523,3262521,High,ND,AGGRAV ASSAULT,P180560928,4600 PALL MALL RD,39.342183,-76.66500400000001,2018-02-25
472396,2801689,2758636,Medium,NE,COMMON ASSAULT,P172252799,4900 SINCLAIR LN,39.321172999999995,-76.550646,2017-08-13
55531,248687,3008704,Medium,ND,COMMON ASSAULT,P173172050,4600 PALL MALL RD,39.342183,-76.66500400000001,2017-11-13
630564,3471652,2637557,Medium,WD,COMMON ASSAULT,P171832444,2600 W LAFAYETTE AV,39.298303000000004,-76.659573,2017-07-02
580856,3275200,2664498,Medium,WD,COMMON ASSAULT,P171923384,1700 N FULTON AV,39.308053,-76.64641999999999,2017-07-11
297294,1683108,3217818,Medium,SW,COMMON ASSAULT,P180380030,2500 BLK HOLLINS ST,39.286707,-76.656377,2018-02-07
2487,41658,2562462,Medium,SW,COMMON ASSAULT,P171583007,2500 MCHENRY ST,39.283879,-76.65612800000001,2017-06-07
285554,1602075,3082325,Medium,NW,COMMON ASSAULT,P173472290,4000 LIBERTY HEIGHTS AV,39.328231,-76.685497,2017-12-13
438538,2045031,3405395,Medium,CD,COMMON ASSAULT,P181122402,200 N CHARLES ST,39.291418,-76.615258,2018-04-22
525882,2993493,3114023,Medium,NW,COMMON ASSAULT,P173611441,5300 WINNER AV,39.351728,-76.676749,2017-12-27
570053,3187747,3092966,Medium,NW,COMMON ASSAULT,P173521647,REISTERSTOWN PLAZA,39.456413,-76.816576,2017-12-18
625367,3466296,2462278,Medium,SD,COMMON ASSAULT,P171242554,1200 SARGEANT ST,39.282006,-76.634609,2017-05-04
487625,2886436,2565512,Medium,WD,COMMON ASSAULT,P171593085,2100 W LAFAYETTE AV,39.298590999999995,-76.651613,2017-06-08
65107,351037,2548585,Medium,SD,COMMON ASSAULT,P171541049,3000 SEAMON AV,39.250889,-76.617767,2017-06-03
632036,3473128,2679729,Medium,ED,COMMON ASSAULT,P171980706,700 N MILTON AV,39.299178999999995,-76.582321,2017-07-17
476812,2806139,2931420,High,SD,AGGRAV ASSAULT,P172881097,3800 4TH ST,39.234671999999996,-76.606712,2017-10-15
519007,2986594,2889158,Medium,SD,COMMON ASSAULT,P172730172,3000 HURON ST,39.25546,-76.650148,2017-09-30
393746,1922325,3347728,Medium,SE,COMMON ASSAULT,P180910517,1000 FELL ST,39.280309,-76.589087,2018-04-01
331294,1775116,3258114,High,SE,AGGRAV ASSAULT,P180541539,300 S DALLAS CT,39.287504999999996,-76.59649399999999,2018-02-23
322616,1763245,3263991,High,ED,AGGRAV ASSAULT,P180570105,1900 BELAIR RD,39.312746000000004,-76.58381999999999,2018-02-26
522345,2989941,3033909,Medium,NW,COMMON ASSAULT,P173271629,2200 GWYNNS FALLS PY,39.312399,-76.683277,2017-11-23
20507,128877,2490760,Medium,SE,COMMON ASSAULT,P171350257,400 N HIGHLAND AV,39.296223,-76.569659,2017-05-15
627110,3468187,2527879,Medium,ND,COMMON ASSAULT,P171470426,3800 FALLS RD,39.334088,-76.63592299999999,2017-05-27
403465,1948901,3358759,Medium,WD,COMMON ASSAULT,P180951583,2500 WINCHESTER ST,39.301491999999996,-76.657931,2018-04-05
163389,800195,2953981,Medium,NW,COMMON ASSAULT,P172962720,2300 LIBERTY HEIGHTS AV,39.318546000000005,-76.652653,2017-10-23
587137,3281529,2866626,Medium,CD,COMMON ASSAULT,P172650445,2000 DRUID HILL AV,39.307488,-76.635351,2017-09-22
637552,3478659,2878066,High,CD,AGGRAV ASSAULT,P172690853,200 N HOWARD ST,39.292176,-76.619664,2017-09-26
310701,1713782,3235721,Medium,SD,COMMON ASSAULT,P180452387,3400 2ND ST,39.243390999999995,-76.603534,2018-02-14
708671,3748913,3108114,High,SD,AGGRAV ASSAULT,P173581549,1500 W LOMBARD ST,39.286432,-76.640843,2017-12-24
644252,3485375,3120585,Medium,NE,COMMON ASSAULT,P173640978,3800 E NORTHERN PY,39.357883,-76.53508000000001,2017-12-30
23781,133146,2640394,Medium,CD,COMMON ASSAULT,P171842583,1200 ETTING ST,39.300767,-76.628091,2017-07-03
662214,3574914,2984777,High,NW,AGGRAV ASSAULT,P173080291,3100 WOODLAND AV,39.346024,-76.669889,2017-11-04
41784,230620,2539907,Medium,WD,COMMON ASSAULT,P171511522,2000 PENROSE AV,39.291179,-76.649324,2017-05-31
537188,3084367,2749252,Medium,NE,COMMON ASSAULT,P172221720,5600 FRANKFORD AV,39.322159,-76.540534,2017-08-10
406180,1960503,3364882,Medium,CD,COMMON ASSAULT,P180972200,400 W BALTIMORE ST,39.289316,-76.62093,2018-04-07
529643,3076786,2507397,Medium,WD,COMMON ASSAULT,P171401207,1300 N STOCKTON ST,39.303575,-76.63747,2017-05-20
541626,3088823,2889265,High,SE,AGGRAV ASSAULT,P172730313,400 BLK N ROBINSON ST,39.296114,-76.572911,2017-09-30
92062,476445,2614212,Medium,CD,COMMON ASSAULT,P171753008,100 W CENTRE ST,39.296248,-76.617933,2017-06-24
131751,697933,2560309,Medium,ED,COMMON ASSAULT,P171580567,1700 E LAFAYETTE AV,39.31065,-76.594453,2017-06-07
9113,50322,2807073,Medium,SW,COMMON ASSAULT,P172430508,700 DENISON ST,39.295413,-76.674102,2017-08-31
