,Unnamed: 0,recordId,priority,district,description,callNumber,incidentLocation,Latitude,Longitude,date
608295,3379197,2732803,Medium,WD,911/NO  VOICE,P172161839,2500 PENNSYLVANIA AV,39.310664,-76.64326899999999,2017-08-04
412496,1970297,3369779,High,NW,AGGRAV ASSAULT,P180992271,3700 BOARMAN AV,39.334746,-76.67616600000001,2018-04-09
685640,3663721,3087875,Low,SD,LARCENY,P173501759,1700 BLK CHERRY HILL RD,39.255885,-76.63414499999999,2017-12-16
61847,324171,2856105,Low,ND,INVESTIGATE,P172611115,700 SPRINGFIELD AV,39.340829,-76.60639300000001,2017-09-18
218502,1497156,2721698,Medium,WD,Lab Request,P172122567,1600 VINCENT CT,39.307354,-76.643937,2017-07-31
255221,1545376,3034188,High,SW,Traffic Stop,P173271944,3500 W CATON AV,39.287261,-76.674982,2017-11-23
140983,709792,2886280,Low,SE,LARCENY F/AUTO,P172720335,300 N ROBINSON ST,39.295596,-76.57288,2017-09-29
615917,3386867,2930714,Non-Emergency,SD,PRKG COMPLAINT,P172880295,100 BLK S GILMOR ST,39.286264,-76.64224899999999,2017-10-15
653819,3566492,2682257,Medium,NE,911/NO  VOICE,P171990329,5200 HAMILTON AV,39.334887,-76.529492,2017-07-18
289564,1668526,3207917,Medium,SD,911/NO  VOICE,P180332762,1500 W PATAPSCO AV,39.24949,-76.64070600000001,2018-02-02
239655,1524933,2907441,High,NE,Traffic Stop,P172792360,3500 JUNEWAY,39.31816,-76.567358,2017-10-06
585885,3280269,2817594,Medium,SW,911/NO  VOICE,P172470134,200 S PULASKI ST,39.284971,-76.64989399999999,2017-09-04
380260,1887640,3339447,High,SD,Traffic Stop,P180880752,1900 W PRATT ST,39.285112,-76.64689200000001,2018-03-29
223432,1503888,2767506,Medium,CW,Lab Request,P172290218,1200 SHERWOOD AV,39.365961,-76.59264300000001,2017-08-17
278151,1575115,3190140,High,NE,Traffic Stop,P180270406,3200 BLK WHITE AV,39.352746999999994,-76.555371,2018-01-27
485699,2884504,2482230,Medium,ED,911/NO  VOICE,P171312981,1600 GUILFORD AV,39.308375,-76.61223199999999,2017-05-11
120951,602758,2897275,High,NW,SILENT ALARM,P172760562,3200 VICKERS RD,39.317782,-76.671596,2017-10-03
583296,3277648,2761344,High,CD,SILENT ALARM,P172262975,1800 DRUID HILL AV,39.306008,-76.633577,2017-08-14
151946,746261,2651787,Medium,CD,911/NO  VOICE,P171881470,300 W PRESTON ST,39.301803,-76.622675,2017-07-07
107382,496901,3184311,High,SE,SILENT ALARM,P180250164,1700 DUNDALK AV,39.274592,-76.532154,2018-01-25
359767,1837121,3302414,Medium,SD,COMMON ASSAULT,P180721354,4100 DORIS AV,39.229624,-76.602796,2018-03-13
458317,2623266,3052309,Medium,NE,NARCOTICS ONVIEW,P173351422,4300 NICHOLAS AV,39.327858,-76.562455,2017-12-01
643929,3485052,3099372,Low,NW,HIT AND RUN,P173550083,3200 CARLISLE AV,39.318444,-76.669799,2017-12-21
16911,60616,3076618,High,ED,ROBBERY ARMED,P173451495,1100 N COLLINGTON AV,39.303513,-76.586966,2017-12-11
238198,1523023,2897609,Medium,CW,Lab Request,P172760934,6100 WESTERN RUN DR,39.362590000000004,-76.68625,2017-10-03
491251,2890094,2714041,High,NW,AUDIBLE ALARM,P172100126,3200 BLK SEQUOIA AV,39.328345,-76.667242,2017-07-29
587056,3281448,2872144,High,WD,FIRE,P172670160,900 N PAYSON ST,39.299038,-76.64927,2017-09-24
558599,3176257,2713178,Medium,CD,NARCOTICS INSIDE,P172092334,1000 PENNSYLVANIA AV,39.298106,-76.628005,2017-07-28
363911,1846567,3307239,Medium,NE,911/NO  VOICE,P180741195,3500 HILLEN RD,39.332156,-76.58899100000001,2018-03-15
533485,3080640,2636658,Medium,SW,SUSPICIOUS PERS,P171831453,3400 BENSON AV,39.26726,-76.671516,2017-07-02
720518,3823224,2458415,Non-Emergency,SE,INVESTIGATE AUTO,P171231548,3200 ELLIOTT ST,39.279317999999996,-76.570909,2017-05-03
344650,1800123,3270906,Medium,CW,Lab Request,P180591786,1200 E BELVEDERE AV,39.360721000000005,-76.59389399999999,2018-02-28
177956,894883,3180336,Non-Emergency,SW,PRKG COMPLAINT,P180232234,600 DENISON ST,39.294564,-76.674141,2018-01-23
442010,2057890,3409714,Low,CW,RECOVERED VEH,P181141310,4900 CRENSHAW AV,39.328171000000005,-76.546578,2018-04-24
674598,3652551,2683923,Medium,SD,BURGLARY,P171992173,200 CHERRY HILL RD,39.251642,-76.618975,2017-07-18
720608,3823414,2560407,Low,SE,LARCENY F/AUTO,P171580687,400 N CURLEY ST,39.296227,-76.575753,2017-06-07
58252,252272,3101101,Medium,ND,911/NO  VOICE,P173552076,2500 W BELVEDERE AV,39.352908,-76.666818,2017-12-21
657616,3570303,2842992,Medium,ND,DISORDERLY,P172561858,2500 N HOWARD ST,39.318171,-76.619748,2017-09-13
444847,2065918,3413665,Medium,ND,NARCOTICS ONVIEW,P181152810,2200 W COLD SPRING LN,39.343361,-76.652608,2018-04-25
80186,371247,3045348,High,ED,ARMED PERSON,P173322030,1300 N LUZERNE AV,39.306001,-76.581323,2017-11-28
77101,366976,2936222,Medium,NW,DISORDERLY,P172900566,5500 PARK HEIGHTS AV,39.351915999999996,-76.683649,2017-10-17
608301,3379203,2749382,Medium,NE,911/NO  VOICE,P172221860,1100 E COLD SPRING LN,39.345153,-76.599695,2017-08-10
529155,3076296,2474106,Medium,ED,911/NO  VOICE,P171290134,1000 EDISON HY,39.301505999999996,-76.57288100000001,2017-05-09
138901,707100,2814935,Medium,SW,911/NO  VOICE,P172452763,100-108 SORRENTO AV,39.282034,-76.691726,2017-09-02
59286,253636,3125992,Medium,ND,FAMILY DISTURB,P180020128,1100 RAMBLEWOOD RD,39.362564,-76.595039,2018-01-02
649073,3561729,2526063,Medium,SW,911/NO  VOICE,P171462199,2100 WINDSOR GARDENS LN,39.309651,-76.699857,2017-05-26
512142,2979696,2680693,Medium,NW,DISORDERLY,P171981764,3300 OAKFIELD AV,39.324814,-76.686901,2017-07-17
663842,3576558,3036302,Medium,SD,COMMON ASSAULT,P173282238,2400 SEABURY RD,39.252572,-76.623236,2017-11-24
510462,2978006,2619429,Medium,WD,NARCOTICSOutside,P171772571,1600 BLK VINCENT CT,39.307354,-76.643937,2017-06-26
137931,705840,2775389,Medium,SE,911/NO  VOICE,P172312582,100 N BROADWAY,39.292924,-76.594061,2017-08-19
576630,3270959,2554267,Medium,WD,NARCOTICSOutside,P171560762,1300 BLK N STRICKER ST,39.303225,-76.64178299999999,2017-06-05
346304,1802254,3251281,High,WD,RA POLICE,P180513127,2500 WOODBROOK AV,39.312055,-76.643116,2018-02-20
62944,348333,2485076,Medium,ED,FAMILY DISTURB,P171323201,2300 E OLIVER ST,39.307829,-76.585259,2017-05-12
574000,3268292,2466853,Low,NW,LARCENY F/AUTO,P171261157,BALTIMORE CITY COMMUNITY COLLEGE,39.290442999999996,-76.61233299999999,2017-05-06
95043,480459,2721623,Medium,ED,COMMON ASSAULT,P172122499,1400 E BIDDLE ST,39.304102,-76.59919000000001,2017-07-31
83313,375244,3136339,High,ED,SILENT ALARM,P180060794,400 N PATTERSON PARK AV,39.295628,-76.584924,2018-01-06
40927,229433,2525035,Medium,ED,911/NO  VOICE,P171461005,600 N WOLFE ST,39.297502,-76.590807,2017-05-26
634120,3475217,2748081,Low,ND,OTHER,P172220378,5600 MIDWOOD AV,39.357465999999995,-76.600499,2017-08-10
46558,236947,2762101,Medium,NE,BURGLARY,P172270683,2300 BELAIR RD,39.317349,-76.578556,2017-08-15
349501,1810555,3289134,Medium,NW,911/NO  VOICE,P180670260,2400 VIOLET AV,39.330405,-76.657397,2018-03-08
255261,1545429,3030028,Medium,WD,Warrant Service,P173260213,1700 N PAYSON ST,39.307913,-76.649775,2017-11-22
570048,3187742,3108492,Medium,WD,911/NO  VOICE,P173581943,200 N PULASKI ST,39.291149,-76.650234,2017-12-24
268696,1562806,3139717,Non-Emergency,SE,Personal Relief,P180072149,SOUTHEAST DISTRICT,39.128502000000005,-76.61637900000001,2018-01-07
665277,3577995,3077362,Medium,SD,DISORDERLY,P173452305,3800 S HANOVER ST,39.236437,-76.610574,2017-12-11
275854,1572120,3179766,High,NE,Traffic Stop,P180231553,5300 FRANKFORD AV,39.324524,-76.54084,2018-01-23
42454,231504,2578610,Medium,CD,911/NO  VOICE,P171640884,1100 W NORTH AV,39.310368,-76.636163,2017-06-13
698573,3738754,2776982,Non-Emergency,SS,SUPV COMPLAINT,P172321192,3200 LAWNVIEW AV,39.319555,-76.573574,2017-08-20
376146,1876789,3322306,High,ND,SILENT ALARM,P180801230,5200 ROLAND AV,39.358242,-76.635013,2018-03-21
658290,3570979,2857641,Medium,ED,COMMON ASSAULT,P172612821,700 FALLSWAY,39.297726000000004,-76.610449,2017-09-18
195436,1466719,2520311,Non-Emergency,NE,Repairs/Service,P171442565,BIDDLE STREET,39.2719,-76.477501,2017-05-24
439695,2049561,3406899,Medium,ND,DISORDERLY,P181131325,3200 ST PAUL ST,39.327843,-76.616084,2018-04-23
610257,3381164,2798199,Medium,NW,911/NO  VOICE,P172392521,3800 W BELVEDERE AV,39.344787,-76.68186800000001,2017-08-27
6731,47229,2727733,Low,SE,AUTO ACCIDENT,P172142731,2200 BLK EASTERN AV,39.285897999999996,-76.585674,2017-08-02
593806,3288244,3081713,Low,SE,AUTO ACCIDENT,P173471620,5500 O DONNELL ST,39.281220000000005,-76.548358,2017-12-13
303782,1697787,3225717,High,WD,OVERDOSE,P180411008,600 N FRANKLINTOWN RD,39.295113,-76.664191,2018-02-10
552627,3170266,2541716,Low,SD,ANIMAL CRUELTY,P171520119,800-900 LIGHT ST,39.279788,-76.61268000000001,2017-06-01
519635,2987226,2911154,Medium,SD,COMMON ASSAULT,P172802992,2800 MAISEL ST,39.261435999999996,-76.634395,2017-10-07
733764,3836900,3177464,Low,ED,SEE TEXT,P180222054,2700 E BIDDLE ST,39.304848,-76.57968000000001,2018-01-22
31288,142951,2953805,Non-Emergency,SD,INVESTIGATE AUTO,P172962530,4100 CURTIS AV,39.228359000000005,-76.587099,2017-10-23
168198,837128,2900812,Low,SD,DESTRUCT PROP,P172771377,1400 HULL ST,39.270205,-76.59304200000001,2017-10-04
709723,3749989,3180984,Low,NW,LARCENY,P180232970,2600 N LONGWOOD ST,39.316311,-76.668062,2018-01-23
310624,1713638,3235640,Medium,SW,NARCOTICS INSIDE,P180452310,4600 EDMONDSON AV,39.293406,-76.693881,2018-02-14
592346,3286779,3026532,Low,SD,INVESTIGATE,P173241989,1500 BLK CLARKSON ST,39.27237,-76.616113,2017-11-20
285312,1601774,3072850,High,SW,RA POLICE,P173431702,1100 KEVIN RD,39.298338,-76.69,2017-12-09
604820,3375712,2630677,Medium,ND,911/NO  VOICE,P171811563,100 E MELROSE AV,39.366496000000005,-76.619321,2017-06-30
411849,1968672,3033983,Medium,NE,FAMILY DISTURB,P173271709,5600 PURDUE AV,39.356618,-76.593532,2017-11-23
613459,3384395,2871495,Medium,NW,911/NO  VOICE,P172662635,3800 W BELVEDERE AV,39.344787,-76.68186800000001,2017-09-23
325484,1767207,3248185,High,NE,DISCHRG FIREARM,P180502237,1600 BLK WINFORD RD,39.353063,-76.586545,2018-02-19
694388,3734558,2653127,Medium,CD,911/NO  VOICE,P171882985,500 W LOMBARD ST,39.28745,-76.622188,2017-07-07
191594,1461806,2490738,Non-Emergency,SW,Personal Relief,P171350233,SOUTHWEST DISTRICT,39.128502000000005,-76.61637900000001,2017-05-15
417543,1983908,3374651,Medium,ED,911/NO  VOICE,P181011992,600 N WOLFE ST,39.297502,-76.590807,2018-04-11
336876,1789796,3264678,Medium,SW,FAMILY DISTURB,P180570882,2200 BOOTH ST,39.287366999999996,-76.651877,2018-02-26
624776,3395824,3199626,Medium,NW,911/NO  VOICE,P180302469,6800 REISTERSTOWN RD,39.359581,-76.70699,2018-01-30
20846,129319,2497926,Medium,SD,DISORDERLY,P171371366,1500 RAMSAY ST,39.283333,-76.640671,2017-05-17
640681,3481796,2984968,Low,NE,AUTO ACCIDENT,P173080509,4100 WESTVIEW RD,39.339890000000004,-76.59755799999999,2017-11-04
616919,3387870,2956483,Medium,NW,BURGLARY,P172972516,3400-MARY AVONDALE AV,39.352399,-76.55242,2017-10-24
1327,40084,2490392,High,CD,AUDIBLE ALARM,P171342811,700 DRUID PARK LAKE DR,39.316679,-76.630421,2017-05-14
184812,942922,3198954,Medium,ND,FAMILY DISTURB,P180301658,1400 WELDON PL N,39.337309000000005,-76.641664,2018-01-30
26954,137254,2745365,Low,NW,HIT AND RUN,P172210560,4000 HAYWARD AV,39.346224,-76.68452099999999,2017-08-09
2094,41112,2566651,Medium,CD,DISORDERLY,P171600938,100 E NORTH AV,39.311215000000004,-76.614644,2017-06-09
256680,1547251,3043569,Non-Emergency,SW,Foot  Patrol,P173312994,200 S CATHERINE ST,39.284634999999994,-76.65599499999999,2017-11-27
638901,3480010,2921165,Medium,NW,911/NO  VOICE,P172841761,3000 DRUID PARK DR,39.323184000000005,-76.662116,2017-10-11
511547,2979099,2626317,Medium,ND,DISORDERLY,P171800023,2000 MARYLAND AV,39.312692,-76.618004,2017-06-29
557579,3175233,2668469,High,NE,SILENT ALARM,P171941131,1600 NORTHGATE RD,39.345078,-76.589221,2017-07-13
128644,613123,3181463,Medium,NW,DISORDERLY,P180240162,3900 BLK DORCHESTER RD,39.329496,-76.683274,2018-01-24
499938,2898809,3006312,Medium,WD,NARCOTICSOutside,P173161653,1800 BLK W LEXINGTON ST,39.290564,-76.64583499999999,2017-11-12
211832,1488233,2659929,Non-Emergency,CD,RECOVER PROPERTY,P171911426,100 N EUTAW ST,39.290541,-76.621016,2017-07-10
84330,376795,3138647,Medium,NE,911/NO  VOICE,P180070932,1300 GLENEAGLE RD,39.363376,-76.590304,2018-01-07
3219,42659,2568453,Medium,SE,911/NO  VOICE,P171602950,3500 PULASKI HY,39.296203999999996,-76.568481,2017-06-09
523290,2990894,3034432,Medium,CD,COMMON ASSAULT,P173280178,700 DRUID PARK LAKE DR,39.316679,-76.630421,2017-11-24
725108,3828075,2789308,Non-Emergency,SW,INVESTIGATE AUTO,P172362311,2100 BLK MT HOLLY ST,39.311052000000004,-76.68181700000001,2017-08-24
108047,552358,2511884,Medium,WD,FAMILY DISTURB,P171412700,1800 PRESSTMAN ST,39.305262,-76.646683,2017-05-21
553894,3171536,2548941,Medium,WD,FAMILY DISTURB,P171541438,1800 RIGGS AV,39.300883,-76.646455,2017-06-03
670840,3648764,2524583,Medium,NW,911/NO  VOICE,P171460470,6600 PARK HEIGHTS AV,39.3612,-76.698385,2017-05-26
566177,3183861,2931794,Medium,SD,COMMON ASSAULT,P172881513,2200 W PATAPSCO AV,39.251464,-76.646416,2017-10-15
433972,2030992,3399637,Low,ED,LARCENY,P181102275,700 FALLSWAY,39.297726000000004,-76.610449,2018-04-20
727117,3830122,2978005,Medium,SE,NARCOTICSOutside,P173052149,500 N KENWOOD AV,39.297234,-76.577936,2017-11-01
228679,1510748,2810554,High,SE,Traffic Stop,P172441071,100 S HIGHLAND AV,39.291226,-76.569333,2017-09-01
517628,2985209,2849377,Medium,NW,911/NO  VOICE,P172582786,3800 EGERTON RD,39.327978,-76.680761,2017-09-15
115358,595578,2723122,Medium,NW,POSS/ATTEMPT,P172130984,3400 N ROGERS AV,39.330684999999995,-76.707284,2017-08-01
614501,3385442,2890171,Medium,SW,911/NO  VOICE,P172731317,3600 W FRANKLIN ST,39.292646000000005,-76.677151,2017-09-30
255888,1546233,3037950,Low,ND,Transport,P173291532,5000 BLK YORK RD,39.349211,-76.60968199999999,2017-11-25
461746,2725334,2578044,High,SD,PROTECTIVE ORDER,P171640195,2500 MARBOURNE AV,39.253923,-76.649305,2017-06-13
137209,704921,2765861,Medium,SW,COMMON ASSAULT,P172281693,2700 WILKENS AV,39.27802,-76.658845,2017-08-16
483422,2812785,3172955,Non-Emergency,SS,SUPV COMPLAINT,P180202740,5700 BELAIR RD,39.342557,-76.545226,2018-01-20
489630,2888467,2645909,Medium,SD,NARCOTICSOutside,P171861887,1900 BLK MCHENRY ST,39.284187,-76.646869,2017-07-05
662326,3575028,3001070,High,NE,SILENT ALARM,P173141377,1500 GORSUCH AV,39.322656,-76.596956,2017-11-10
456845,2599850,2876221,High,CD,Traffic Stop,P172681852,1600 PENNSYLVANIA AV,39.303201,-76.634284,2017-09-25
276336,1572755,3183698,High,ND,Traffic Stop,P180242702,2800 BLK GUILFORD AV,39.322186,-76.613129,2018-01-24
314376,1722401,3240355,High,NW,Traffic Stop,P180471577,5000 BLK REISTERSTOWN RD,39.34198,-76.679288,2018-02-16
646874,3488094,3196189,Low,ND,LARCENY,P180291531,500 E BELVEDERE AV,39.364127,-76.609646,2018-01-29
279919,1577375,3201769,Medium,WD,NARCOTICS ONVIEW,P180311991,700 BLK N FULTON AV,39.296564000000004,-76.645726,2018-01-31
432543,2025998,3397627,Medium,ED,911/NO  VOICE,P181100058,3700 E MONUMENT ST,39.2996,-76.566967,2018-04-20
654571,3567246,2722877,Medium,SD,DISORDERLY,P172130714,400 PONTIAC AV,39.236041,-76.605424,2017-08-01
677162,3655137,2762395,Medium,NE,FAMILY DISTURB,P172271027,3500 CHESTERFIELD AV,39.32107,-76.564352,2017-08-15
730039,3833061,3001505,Non-Emergency,CD,PRKG COMPLAINT,P173141856,600 E PRATT ST,39.286741,-76.60776899999999,2017-11-10
443231,2061266,3411533,Medium,SW,WANTED ON WARR,P181150333,300 ALLENDALE ST,39.290855,-76.678205,2018-04-25
573962,3268233,2457850,Medium,SW,911/NO  VOICE,P171230893,3600 W FRANKLIN ST,39.292646000000005,-76.677151,2017-05-03
382374,1892760,3330984,Medium,SE,DISORDERLY,P180840167,2300 ORLEANS ST,39.295522,-76.584917,2018-03-25
610137,3381044,2774478,Low,SD,WANTED ON WARR,P172311587,3000 S HANOVER ST,39.250727000000005,-76.614528,2017-08-19
149166,720349,3154407,Low,NE,OTHER,P180131608,1500 CARSWELL ST,39.323223,-76.59642,2018-01-13
282083,1597394,2516638,Medium,NW,BEHAVIORL CRISIS,P171431877,4000 LIBERTY HEIGHTS AV,39.328231,-76.685497,2017-05-23
133975,700818,2649523,Medium,SE,911/NO  VOICE,P171872278,1000 E BALTIMORE ST,39.290437,-76.603127,2017-07-06
324434,1765880,3273558,Medium,SD,UNFOUNDED,P180601813,4500 CURTIS AV,39.225195,-76.586827,2018-03-01
687752,3665851,3162833,Medium,NE,MISSING PERSON,P180170144,2600 GARRETT AV,39.319765999999994,-76.597803,2018-01-17
477847,2807178,2943838,Medium,CD,911/NO  VOICE,P172930222,1700 EUTAW PL,39.307061,-76.63023100000001,2017-10-20
210290,1486193,2642859,Low,CD,WANTED ON WARR,P171851884,1700 PENNSYLVANIA AV,39.304115,-76.635387,2017-07-04
252864,1542297,3015608,High,CD,Traffic Stop,P173201077,500 LAURENS ST,39.305896999999995,-76.63344000000001,2017-11-16
5531,45654,2663371,Medium,SE,911/NO  VOICE,P171922131,3300 EASTERN AV,39.286486,-76.56968499999999,2017-07-11
122061,604228,2954681,Medium,SE,PROSTITUTION,P172970481,6600 GRACELAND AV,39.281216,-76.534728,2017-10-24
79042,369625,2983858,Low,NE,HIT AND RUN,P173072556,2900 INGLEWOOD AV,39.367251,-76.550821,2017-11-03
301489,1692801,3222898,Low,SE,LARCENY F/AUTO,P180400695,300 S CHESTER ST,39.287915000000005,-76.587188,2018-02-09
388348,1907775,3337377,Medium,ED,MISSING PERSON,P180871299,500 E PRESTON ST,39.304786,-76.60931,2018-03-28
455666,2094422,3427879,Medium,WD,COMMON ASSAULT,P181202670,1200 W FAYETTE ST,39.289797,-76.636951,2018-04-30
334757,1780001,3245231,Low,ND,INVESTIGATE,P180491359,6300-BL YORK RD,39.371012,-76.609799,2018-02-18
43655,233172,2642456,Medium,ED,911/NO  VOICE,P171851441,2100 E BIDDLE ST,39.304526,-76.588076,2017-07-04
559013,3176671,2736991,Low,SW,OTHER,P172180141,3500 WINDSOR MILL RD,39.312051000000004,-76.677784,2017-08-06
195236,1466483,2517289,Non-Emergency,SE,Other,P171432607,800-900 E FAYETTE ST,39.291031,-76.605274,2017-05-23
107180,496637,3162497,Medium,WD,SUSPICIOUS PERS,P180162770,2200 RUSKIN AV,39.314961,-76.64778299999999,2018-01-16
23664,133002,2626385,Medium,WD,FAMILY DISTURB,P171800116,2200 BLK RUSKIN AV,39.314961,-76.64778299999999,2017-06-29
20915,129414,2474419,High,ED,ROBBERY UNARMED,P171290514,400 FALLSWAY,39.293638,-76.609629,2017-05-09
84727,377365,3168675,Low,NE,JUV DISTURBANCE,P180191269,5200 CATALPHA RD,39.351547,-76.569647,2018-01-19
549152,3096377,3141416,Medium,NW,911/NO  VOICE,P180081930,4900 LIBERTY HEIGHTS AV,39.332318,-76.698674,2018-01-08
153547,748228,2843268,Medium,SW,NARCOTICSOutside,P172562212,500 S PULASKI ST,39.281157,-76.649117,2017-09-13
1741,40637,2517907,Medium,SE,911/NO  VOICE,P171433285,1700 E PRATT ST,39.289246999999996,-76.593631,2017-05-23
475536,2804839,2872160,Medium,NW,BY THREAT,P172670189,5500 HADDON AV,39.337472999999996,-76.703891,2017-09-24
460182,2717872,3027910,High,ED,RA POLICE,P173250762,1300 N CHESTER ST,39.305721000000005,-76.588286,2017-11-21
164894,802136,3106171,Low,NW,OTHER,P173572091,4000 W NORTHERN PY,39.349495000000005,-76.690567,2017-12-23
6680,47159,2722486,Low,CD,SEE TEXT,P172130254,600 E FAYETTE ST,39.29065,-76.607606,2017-08-01
614386,3385326,2900696,Medium,ND,MISSING PERSON,P172771257,100 E MELROSE AV,39.366496000000005,-76.619321,2017-10-04
243681,1530203,2941539,High,NW,Traffic Stop,P172920656,3300 GARRISON BL,39.326683,-76.68258,2017-10-19
410341,1965990,3365247,Non-Emergency,SE,Business Check,P180972559,2700 BOSTON ST,39.279072,-76.577606,2018-04-07
120540,602249,2878483,Low,SD,LARCENY,P172691346,100 S ARLINGTON AV,39.286577,-76.635164,2017-09-26
52922,245268,2949109,Medium,ED,DISORDERLY,P172942910,2500 E BIDDLE ST,39.304738,-76.5825,2017-10-21
589387,3283782,2944213,High,ED,AUTO ACC/INJURY,P172930676,2700 BLK E FEDERAL ST,39.309084000000006,-76.579912,2017-10-20
46268,236598,2726402,Medium,SW,911/NO  VOICE,P172141276,700 POPLAR GROVE ST,39.295627,-76.664985,2017-08-02
233209,1516513,2855058,High,SE,Traffic Stop,P172602715,200 S BROADWAY,39.289063,-76.593795,2017-09-17
206816,1481487,2615768,High,SE,Field Interview,P171761493,3300 E FAYETTE ST,39.294846,-76.57088399999999,2017-06-25
374501,1872796,3320417,Low,NE,FALSE PRETENSE,P180791530,3100 GIBBONS AV,39.350085,-76.560873,2018-03-20
214812,1492312,2688979,Low,SE,LARCENY F/AUTO,P172011172,500 BLK N MONTFORD AV,39.29699,-76.5836,2017-07-20
20939,129450,2485599,Low,CD,OTHER,P171330500,600 E FAYETTE ST,39.29065,-76.607606,2017-05-13
255382,1545579,3031553,Non-Emergency,NE,SEARCH&SEIZURE,P173261967,4400 ASBURY AV,39.328638,-76.562793,2017-11-22
411060,1966976,3366564,High,SW,Traffic Stop,P180981104,3100 W NORTH AV,39.308983000000005,-76.669488,2018-04-08
637677,3478784,2893574,Medium,SD,COMMON ASSAULT,P172742138,3500 3RD ST,39.23987,-76.60594,2017-10-01
528690,3075824,2456125,Medium,ND,911/NO  VOICE,P171222572,2500 W BELVEDERE AV,39.352908,-76.666818,2017-05-02
610229,3381136,2788408,Medium,SE,SICK CASE,P172361280,2500 FLEET ST,39.285056,-76.581237,2017-08-24
168990,853235,2475494,Low,CD,INVESTIGATE,P171291769,2500 MADISON AV,39.313586,-76.6388,2017-05-09
76489,366202,2906782,Medium,NE,911/NO  VOICE,P172791623,4700 ERDMAN AV,39.308263000000004,-76.561157,2017-10-06
375311,1874868,3321320,Medium,ND,911/NO  VOICE,P180792599,4600 PALL MALL RD,39.342183,-76.66500400000001,2018-03-20
519808,2987400,2919565,Low,NW,DISABLED VEH,P172833303,4800 LIBERTY HEIGHTS AV,39.331871,-76.697261,2017-10-10
62100,347254,2470952,High,NE,AUTO ACC/INJURY,P171272601,6000 BELAIR RD,39.348009000000005,-76.538289,2017-05-07
107212,496681,3164548,Medium,WD,911/NO  VOICE,P180172127,2000 WINCHESTER ST,39.301862,-76.651493,2018-01-17
288275,1655365,3198250,Medium,NE,COMMON ASSAULT,P173500421,4900 GOODNOW RD,39.326367,-76.547818,2018-01-30
45654,235790,2683500,Medium,ND,911/NO  VOICE,P171991712,6300-BL YORK RD,39.371012,-76.609799,2017-07-18
562364,3180029,2838559,Low,SW,INVEST,P172542806,2500 W LEXINGTON ST,39.290209999999995,-76.65571,2017-09-11
251018,1539861,2998534,High,NW,Traffic Stop,P173131593,2600 W COLD SPRING LN,39.340154999999996,-76.665338,2017-11-09
450486,2084594,3419072,Low,NE,LARCENY,P181172254,1500 HAVENWOOD RD,39.340655,-76.591179,2018-04-27
593933,3288371,3091999,High,SW,SILENT ALARM,P173520529,1900 WHISTLER AV,39.266020000000005,-76.652349,2017-12-18
92261,476730,2627787,Medium,SD,ASSIST MOTORIST,P171801746,800 BLK E FORT AV,39.272008,-76.602373,2017-06-29
666711,3579430,3112515,Medium,CD,DISORDERLY,P173602064,200 E PRATT ST,39.286601,-76.611461,2017-12-26
